Tipodoc,importe,Factura,cuenta,planta,Micelaneo
BC1,3355.59,ETP239839,40310102,TOL,FIN001
BC1,2529.38,ETP239840,40310102,TOL,FIN001
BC1,212000.05,ETP239841,40310102,TOL,FIN001
BC1,51298.39,ETP239842,40310102,TOL,FIN001
BC1,14732.12,ETP239870,40310102,TOL,FIN001
BC1,3738.66,ETP239871,40310102,TOL,FIN001
BC1,174434.34,ETP239872,40310102,TOL,FIN001
BC1,59039.89,ETP239873,40310102,TOL,FIN001
BC1,33666.35,ETP239874,40310102,TOL,FIN001
BC1,13055.48,ETP239875,40310102,TOL,FIN001
BC1,856.37,ETP239876,40310102,TOL,FIN001
BC1,8362.40,ETP240243,40310102,TOL,FIN001
BC1,7967.62,ETP240244,40310102,TOL,FIN001
BC1,15547.36,ETP240245,40310102,TOL,FIN001
BC1,2683.30,ETP240246,40310102,TOL,FIN001
BC1,4482.09,ETP240339,40310102,TOL,FIN001
BC1,282198.16,ETP240340,40310102,TOL,FIN001
BC1,162056.06,ETP240350,40310102,TOL,FIN001
BC1,131407.97,ETP240351,40310102,TOL,FIN001
BC1,47365.17,ETP240352,40310102,TOL,FIN001
BC1,1743.54,ETP240353,40310102,TOL,FIN001
BC1,2047.70,ETP240354,40310102,TOL,FIN001
BC1,6520.79,ETP240355,40310102,TOL,FIN001
BC1,2147.06,ETP240356,40310102,TOL,FIN001
BC1,22247.71,ETP240357,40310102,TOL,FIN001
BC1,34561.65,ETP240358,40310102,TOL,FIN001
BC1,25060.58,ETP240359,40310102,TOL,FIN001
BC1,84841.45,ETP240360,40310102,TOL,FIN001
BC1,18635.08,ETP240361,40310102,TOL,FIN001
BC1,712.34,ETP240362,40310102,TOL,FIN001
BC1,252905.29,ETP240439,40310102,TOL,FIN001
BC1,195890.86,ETP240440,40310102,TOL,FIN001
BC1,1474.95,ETP240441,40310102,TOL,FIN001
BC1,53346.25,ETP240442,40310102,TOL,FIN001
BC1,33072.89,ETP240443,40310102,TOL,FIN001
BC1,197884.63,ETP240444,40310102,TOL,FIN001
BC1,20068.53,ETP240445,40310102,TOL,FIN001
BC1,1210.97,ETP240446,40310102,TOL,FIN001
BC1,331626.88,ETP240614,40310102,TOL,FIN001
BC1,319344.41,ETP240615,40310102,TOL,FIN001
BC1,316509.99,ETP240616,40310102,TOL,FIN001
BC1,331311.94,ETP240619,40310102,TOL,FIN001
BC1,319344.41,ETP240620,40310102,TOL,FIN001
BC1,331626.88,ETP240625,40310102,TOL,FIN001
BC1,2890.61,ETP240626,40310102,TOL,FIN001
BC1,1494.03,ETP240627,40310102,TOL,FIN001
BC1,24701.22,ETP240628,40310102,TOL,FIN001
BC1,7565.83,ETP240629,40310102,TOL,FIN001
BC1,211672.05,ETP240630,40310102,TOL,FIN001
BC1,20911.61,ETP240653,40310102,TOL,FIN001
BC1,202847.50,ETP240654,40310102,TOL,FIN001
BC1,10034.27,ETP240655,40310102,TOL,FIN001
BC1,427.40,ETP240656,40310102,TOL,FIN001
BC1,275.31,ETP240677,40310102,TOL,FIN001
BC1,90.51,ETP240678,40310102,TOL,FIN001
BC1,255.60,ETP240679,40310102,TOL,FIN001
