CESION,DEUDOR,POBLACION,FOLIO,NO. FACT.,IMP. NETO,FEC/EXP.,FEC/REV.,FEC/VENC,R. F. C.,tipo docto
2,100061,,,ETP243385,182821.30,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ETP243395,29913.86,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ETP243396,206663.95,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ETP243402,145122.00,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ETP243413,69650.86,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ETP243414,223382.16,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,EGB98954,13104.76,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,EGB98948,123599.32,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,EGB98949,3854.00,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,EGB98950,6837.28,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,EGB98951,17051.49,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,EGB98952,8967.04,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,EGB98953,19431.48,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,EGB98848,2166.37,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,EGB98889,49194.60,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,EGB98944,23718.32,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,EGB98945,5315.50,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,EGB98946,7281.56,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,EGB98947,47077.43,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,EGB98841,105.80,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,EGB98842,23421.04,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,EGB98843,10621.76,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,EGB98845,163608.00,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,EGB98846,38496.00,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,EGB98847,53342.25,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3279,23992.05,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3280,5036.25,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,EGB98826,42855.80,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,EGB98838,138113.16,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,EGB98839,20202.57,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,EGB98840,62287.21,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3273,286.95,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3274,42414.78,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3275,147169.63,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3276,36272.03,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3277,11212.82,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3278,16251.25,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3214,21552.96,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3215,18249.43,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3216,68302.86,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3217,12679.12,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3218,15524.39,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ERA3219,16040.32,10/19/2015,12/28/2015,12/28/2015,PAM781201CW0,FS
2,100061,,,ETP243763,227617.06,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,ETP243764,15067.02,10/19/2015,01/04/2016,01/04/2016,PAM781201CW0,FS
2,100061,,,ETP243765,1006.85,10/19/2015,12/14/2015,12/14/2015,PAM781201CW0,FS
2,100061,,,ETP243767,140856.56,10/19/2015,12/14/2015,12/14/2015,PAM781201CW0,FS
