PROVEEDOR,NO.FACT.,IMP. NETO,T. COBRO
100061,FS EBA6626,1241.85,CS
100061,FS EBA6627,586.50,CS
100061,FS EBA6628,1037.00,CS
100061,FS EBA6630,1224.00,CS
100061,FS EBA6660,31169.13,CS
100061,FS EBA6661,26655.15,CS
100061,FS EBA6662,42350.40,CS
100061,FS EBA6684,707.69,CS
100061,FS EGB98700,19430.15,CS
100061,FS EGB98701,90024.64,CS
100061,FS EGB98707,34716.59,CS
100061,FS EGB98708,2665.74,CS
100061,FS EGB98709,165.75,CS
100061,FS EGB98710,47513.30,CS
100061,FS EGB98711,472.50,CS
100061,FS EGB98713,446.25,CS
100061,FS EGB98755,11835.98,CS
100061,FS EGB98757,1874.96,CS
100061,FS EGB98800,5404.83,CS
100061,FS EGB98802,13098.79,CS
100061,FS EGB98841,89.93,CS
100061,FS EGB98842,19907.88,CS
100061,FS EGB98843,9028.50,CS
100061,FS EGB98922,23256.00,CS
100061,FS EGB98923,19220.20,CS
100061,FS EGB98924,22420.45,CS
100061,FS EGB98925,5790.20,CS
100061,FS EGB98945,4518.18,CS
100061,FS EGB98946,6189.33,CS
100061,FS EGB98949,3275.90,CS
100061,FS EGB98950,5811.69,CS
100061,FS EGB98963,10949.16,CS
100061,FS EGB98964,89.93,CS
100061,FS EGB98966,7675.55,CS
100061,FS EGB99142,2628.57,CS
100061,FS EGB99203,44707.35,CS
100061,FS EGB99204,22414.81,CS
100061,FS EGB99206,17637.17,CS
100061,FS EGB99207,9777.79,CS
100061,FS EGB99264,59015.93,CS
100061,FS EGB99267,10010.30,CS
100061,FS EGB99269,105121.07,CS
100061,FS EGB99270,142813.26,CS
100061,FS EGB99271,56808.05,CS
100061,FS EGB99320,13543.90,CS
100061,FS EGB99321,69615.65,CS
100061,FS EGB99322,164693.82,CS
100061,FS EGB99323,74747.16,CS
100061,FS EGB99324,2598.07,CS
100061,FS EGB99325,184181.69,CS
100061,FS EGB99384,39062.86,CS
100061,FS EGB99395,1158.89,CS
100061,FS EGB99396,954.38,CS
100061,FS EGB99397,17976.55,CS
100061,FS EGB99399,6661.03,CS
100061,FS EGB99400,19555.24,CS
100061,FS EGB99403,11860.86,CS
100061,FS EGB99404,7226.02,CS
100061,FS EGB99405,204.51,CS
100061,FS EGB99406,2045.10,CS
100061,FS EGB99409,15812.99,CS
100061,FS EGB99411,46629.06,CS
100061,FS EGB99412,268981.85,CS
100061,FS EGB99459,27087.80,CS
100061,FS EGB99460,41229.41,CS
100061,FS EGB99461,147445.45,CS
100061,FS EGB99510,30062.97,CS
100061,FS EGB99511,8853.16,CS
100061,FS EGB99513,14489.26,CS
100061,FS EGB99514,12214.52,CS
100061,FS EGB99515,8360.65,CS
100061,FS ERA3085,22376.25,CS
100061,FS ERA3089,46457.72,CS
100061,FS ERA3092,5523.83,CS
100061,FS ERA3117,16849.89,CS
100061,FS ERA3118,194569.33,CS
100061,FS ERA3140,4843.30,CS
100061,FS ERA3141,686.02,CS
100061,FS ERA3142,8221.64,CS
100061,FS ERA3144,1633.70,CS
100061,FS ERA3146,20276.48,CS
100061,FS ERA3147,132979.54,CS
